None,DressBerry Women Tan Brown Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Tan-Brown-Pumps/215738/buy,Rs. 1,124,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Tan-Brown-Wedge-Pumps_402b8639bbac291b9af5d83a91b34dba_images_1080_1440_mini.JPG,Rs. 1,499,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Tan-Brown-Pumps/215738/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of class to any ensemble with this pair of pumps from DressBerry. Team it with a midi dress to look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, tan brown pumps, low top with slip-on styling<br/>Synthetic upper, panel at forefoot with stylised bow that has metal accents<br/>Reinforced heel collar, lightly cushioned footbed with branding at heel<br/>Tough outsole with texturing at forefoot<br/>Has a panelled wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Dark Green Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Dark-Green-Pumps/215739/buy,Rs. 1,124,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Dark-Green-Wedge-Pumps_62e2361649e1f7eca7d76ca8d04a8040_images_1080_1440_mini.jpg,Rs. 1,499,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Dark-Green-Pumps/215739/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of class to any ensemble with this pair of pumps from DressBerry. Team it with a midi dress to look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, dark green pumps, low top with slip-on styling<br/>Synthetic upper, panel at forefoot with stylised bow that has metal accents<br/>Reinforced heel collar, lightly cushioned footbed with branding at heel<br/>Tough outsole with texturing at forefoot<br/>Has a panelled wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pumps/215737/buy,Rs. 1,124,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-Wedge-Pumps_149d61de1826a0458de9f600df2fffb0_images_1080_1440_mini.jpg,Rs. 1,499,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pumps/215737/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of class to any ensemble with this pair of pumps from DressBerry. Team it with a midi dress to look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black pumps, low top with slip-on styling<br/>Synthetic upper, panel at forefoot with stylised bow that has metal accents<br/>Reinforced heel collar, lightly cushioned footbed with branding at heel<br/>Tough outsole with texturing at forefoot<br/>Has a panelled wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Red Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Red-Sandals/230795/buy,Rs. 1,299,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Red-Sandals_df63641e8f1a8983eb08a26a120b4cad_images_1080_1440_mini.JPG,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Red-Sandals/230795/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7', '8', '9'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This gorgeous pair of sandals from DressBerry is the epitome of chic style. You can team this pair with a pretty tunic and leggings for a look that spells sophistication.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, red sandals with slip-on styling<br/>Has a forefoot strap with stitched detail<br/>Cushioned footbed with branding at the heel<br/>Tough outsole with texturing at the forefoot, has a slim heel with a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic sandals</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.5''</p></li></ul>,26:02:2014,None
None,DressBerry Women Black & White Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-White-Sandals/238636/buy,Rs. 1,399,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-&-White-Sandals_23122cca7d26f4036bb1ab5e0cc17cd7_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-White-Sandals/238636/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This gorgeous pair of sandals from DressBerry is the epitome of chic style. You can team this pair with a pretty tunic and leggings for a look that spells sophistication.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, black and white sandals with a buckle closure<br/>Synthetic upper, has a strap across the forefoot with a bow detail and an ankle loop with an adjustable buckle closure<br/>Soft and padded footbed with branding at the heel<br/>Printed detail at the sides<br/>Tough and textured outsole with wedge heels and terrace grooves</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic sandals</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 4''</p></li></ul>,26:02:2014,None
None,DressBerry Women Red Printed Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Red-Printed-Sandals/238634/buy,Rs. 1,274,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Red-Printed-Sandals_0ba79661671ad07fced9b34165e0b36b_images_1080_1440_mini.jpg,Rs. 1,699,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Red-Printed-Sandals/238634/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If you are searching for a pair of heels that will instantly lend spark to your look, then this pair from DressBerry will serve you well. Team it with a short printed dress for a girlish charm.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, red sandals with low top styling<br/> Synthetic upper with contrast dotted patterns, bow detail at the forefoot, and an ankle loop with Velcro closure<br/> Cushioned footbed with branding at the heel region<br/> Tough and textured rubber outsole, has a wedge heel with textured patterns</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>PU<br/> Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3.5”</p></li></ul>,26:02:2014,None
None,DressBerry Women Black & Beige Peep Toes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-Beige-Peep-Toes/235380/buy,Rs. 1,499,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-&-Beige-Peep-Toes_cbeb620360bc823213160d083f396192_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-Beige-Peep-Toes/235380/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of class to any ensemble with this pair of peep toes from DressBerry. Team it with a pretty printed dress to look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, black and beige shoes with slip-on and low top styling<br/>Synthetic upper with stitched overlays at the forefoot and reinforced heel collar<br/>Cushioned footbed with branding at heel<br/>Tough rubber outsole with a textured wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Grey Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Grey-Pumps/225584/buy,Rs. 974,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Grey-Pumps_52ba563de61903531164908e2f8377d9_images_1080_1440_mini.JPG,Rs. 1,299,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Grey-Pumps/225584/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a dash of glamorous chic to any ensemble with this pair of pumps from DressBerry. Team this pair with a dress and look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointy toed, grey pumps with low tops and slip-on styling<br/>Suede-like upper with bow detail at the forefoot and reinforced heel collar<br/>Soft footbed with branding at the heel<br/>Tough and textured outsole with a kitten heel that has a plastic heel cap<br/>Comes with an extra pair of heel caps</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic suede<br/>Wipe with a clean cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black Peep Toes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Peep-Toes/235378/buy,Rs. 1,299,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-Peep-Toes_08b45976127f6afac01446041c248840_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Peep-Toes/235378/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>These sandals from DressBerry are a perfect add-on to a fashionable casual look. Pair them with a maxi skirt and a tank top.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, black sandals with slip-on and low top styling<br/>Synthetic upper with cut-out detail, has a back strap with an adjustable buckle closure<br/>Soft and padded footbed with branding at the heel<br/>Tough outsole with a chunky heel that has a plastic heel cap<br/>Comes with an extra pair of heel caps</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.4"</p></li></ul>,26:02:2014,None
None,DressBerry Women Brown & Blue Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-&-Blue-Sandals/238635/buy,Rs. 1,049,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Brown-&-Blue-Sandals_3833bd15e0ea9ca6ad0a1fa01afeef7c_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-&-Blue-Sandals/238635/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>This gorgeous pair of sandals from DressBerry is the epitome of chic style. You can team this pair with a pretty tunic and leggings for a look that spells sophistication.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Open toed, brown and blue sandals with a buckle closure<br/>Synthetic upper, has a strap across the forefoot with a bow detail and an ankle loop with an adjustable buckle closure<br/>Soft and padded footbed with branding at the heel<br/>Printed detail at the sides<br/>Tough and textured outsole with wedge heels and terrace grooves</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic sandals</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 4''</p></li></ul>,26:02:2014,None
None,DressBerry Women Brown Peep Toes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-Peep-Toes/235377/buy,Rs. 1,299,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Brown-Peep-Toes_bcbe484a72183cf7621325ec3deec140_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-Peep-Toes/235377/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>These sandals from DressBerry are a perfect add-on to a fashionable casual look. Pair them with a maxi skirt and a tank top.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, light brown sandals with slip-on and low top styling<br/>Synthetic upper with cut-out detail, has a back strap with an adjustable buckle closure<br/>Soft and padded footbed with branding at the heel<br/>Tough outsole with a chunky heel that has a plastic heel cap<br/>Comes with an extra pair of heel caps</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean cloth</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.4"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black and Dull Gold Toned Peep Toes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-and-Dull-Gold-Toned-Peep-Toes/235368/buy,Rs. 1,499,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-and-Gold-Toned-Peep-Toes_44cecbdfc10f007546a47f92a044cb11_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-and-Dull-Gold-Toned-Peep-Toes/235368/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Complete your casual look with this stylish peep toes from DressBerry. Team it with a pretty dress and accessorise it with a matching handbag to up your trend quotient.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, black and dull gold toned sandals, with low top styling and buckle closure<br/>Synthetic leather upper, textured, with overlays and stitched detail, has straps across the forefoot with cut-outs and straps at the sides connected to the heel collar and secured by a buckle closure<br/>Soft footbed with branding at the heel<br/>Tough outsole, textured at the forefoot, has a chunky heel with a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic leather<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black Pump Shoes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pump-Shoes/211296/buy,Rs. 1,299,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-Pump-Shoes_44db66ed5fbd8f549151e530e8fbca9f_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pump-Shoes/211296/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a dash of glamourous chic to any ensemble with this pair of pumps from DressBerry. Team this pair with a dress and look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black pumps with slip-on and low top styling<br/>Synthetic suede upper with buttoned tab detail at the forefoot<br/>Soft footbed with branding at the heel<br/>Tough and textured outsole with wedge heels, has a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic suede<br/>Wipe with a clean cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Sandals/230796/buy,Rs. 1,049,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-Sandals_b8b4d7dbb3aeaffd4ee907bad8550d97_images_1080_1440_mini.jpg,Rs. 1,399,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Sandals/230796/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['4', '5', '6', '7', '8', '9'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>If you are a fashionisita who likes to be in sync with the latest   trends, this chic pair of sandals from DressBerry is just the thing  for  you. Fashion forward and completely on-trend they are sure to turn  heads  wherever you go.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, black sandals with slip-on and low top styling<br/>Synthetic suede upper with fabric and bow detail at the forefoot<br/>Soft and padded footbed with branding at the heel<br/>Tough and textured outsole with kitten heel that has a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic suede<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 1.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Blue Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Blue-Sandals/235397/buy,Rs. 1,499,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Blue-Sandals_c80eae5326523eec8df76c4f1751e9ee_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Blue-Sandals/235397/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>These peep toed sandals from DressBerry add a fashionable edge to your look. Pair them with skinny jeans and a ruffled top.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, blue sandals with a buckled closure and low top styling<br/>Synthetic upper with a bow detail at the forefoot, has a heel collar with an ankle loop that has buckle closure<br/>Cushioned footbed with branding at the heel<br/>Tough and textured outsole with a wedge heel that has a plastic heel cap<br/>Comes with an extra pair of heel caps</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 3"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black & Grey Sandals,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-Grey-Sandals/235383/buy,Rs. 1,499,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-&-Grey-Sandals_0316f8ae5df4fdc0be759fe41b50c96e_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-&-Grey-Sandals/235383/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '5', '6', '7'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a touch of class to any ensemble with this pair of sandals from DressBerry. Team it with a pretty printed dress to look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Peep toed, black and grey sandals with low top styling<br/>Synthetic upper with strap detail and cut-outs at the forefoot, has an ankle loop with a buckled closure<br/>Cushioned footbed with branding at heel<br/>Tough rubber outsole with a textured wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.5"</p></li></ul>,26:02:2014,None
None,DressBerry Women Black Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pumps/211295/buy,Rs. 1,299,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Black-Pumps_3408832beb6502ac5cff1a08b48eb029_images_1080_1440_mini.jpg,None,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Black-Pumps/211295/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Add a dash of glamorous chic to any ensemble with this pair of pumps from DressBerry. Team this pair with a dress and look stunning.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, black pumps with slip-on and low top styling<br/>Synthetic suede upper with bow detail at the forefoot<br/>Soft footbed with branding at the heel<br/>Tough and textured outsole with a wedge heel and red accents at the sides, has a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic suede<br/>Wipe with a clean cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.3"</p></li></ul>,26:02:2014,None
None,DressBerry Women Brown Pumps,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-Pumps/225579/buy,Rs. 974,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Brown-Pumps_5be6dca61dc2ebde128f92734c12d942_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Brown-Pumps/225579/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Choose these pumps from DressBerry if you want an ultra-feminine look. Pair them with a little black dress.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Pointed toe, brown pumps with slip-on and low top styling<br/>Synthetic glossy upper with a reinforced heel collar<br/>Soft and padded footbed with branding at the heel<br/>Tough outsole with a slim heel that has a plastic heel cap</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 2.2"</p></li></ul>,26:02:2014,None
None,DressBerry Women Grey Heeled Shoes,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Grey-Heeled-Shoes/211303/buy,Rs. 909,women-sandals-heels,All Heels,DressBerry,http://myntra.myntassets.com/images/style/properties/DressBerry-Women-Grey-Heeled-Shoes_af0378747c283ee29d7ccb9289f6a408_images_1080_1440_mini.jpg,Rs. 1,299,None,women,http://www.myntra.com/Heels/DressBerry/DressBerry-Women-Grey-Heeled-Shoes/211303/buy,Sold byVector Ecommerce Pvt Ltd,None,None,['3', '4', '4.5', '5', '6'],None,<ul class="mk-pdpv1-product-helper mk-cf"><li class="desc-main-title">Product Description</li><li class="desc-sub-title">Style Note</li><li class="desc-sub-text " itemprop="description"><p>Extremely stylish and feminine, your feet will love this pair of heeled shoes from DressBerry. We recommend you wear it with a pair of jeans and a pretty top when heading out for coffee with friends.</p></li><li class="desc-sub-title ">Product Details</li><li class="desc-sub-text"><p>Round toed, grey heeled shoes with black accents, low top and slip-on styling<br/>Suede-like upper with a stylised bow detail at the forefoot, and reinforced heel collar<br/>Soft and padded footbed, with branding at the heel<br/>Tough and textured outsole, with floral pattern at the forefoot, and a mini wedge heel</p></li><li class="desc-sub-title ">Material &amp; Care</li><li class="desc-sub-text "><p>Synthetic<br/>Wipe with a clean, dry cloth when needed<br/>Click <a href="http://www.myntra.com/synthetic-care">here</a> for the perfect care products for synthetic shoes</p></li><li class="desc-sub-title">Size &amp; Fit</li><li class="desc-sub-text"><p>Heel height: 1.3"</p></li></ul>,26:02:2014,None
